# stress_point_defense: the traced pass, by SYSTEM

probe run stress_point_defense --display :0, profiled pass
(--features debug,trace, bevy per-system spans through trace_chrome).
The traced run is NOT perf-armed, so it is free-running (fixed_steps ~1.7
a frame) and holds only HOLD_FRAMES; its load is 2051 rounds / 2256
colliders / 74 inbound, which is the pinned scene's shape.

Slice: the saturated hold, trace ts 21.70-24.60 s, 110 frames at
26.06 ms. Tracing inflates every span, so read the SHARES and the
ordering. Main world and render world overlap, so shares sum past 100%.

slice 4470815852..5039069518 = 568 MB for ts 21.70-24.60s
frames in slice: 110
 ms/frame  calls/f  name
   26.063      1.0  update: 
   23.957      1.0  sub app: name=RenderApp
   23.946      1.0  schedule: name=RenderRecovery
   23.915      1.0  system: name=\"bevy_render::run_render_schedule\"
   23.905      1.0  schedule: name=Render
   21.954      1.0  main app: 
   21.949      1.0  schedule: name=Main
    9.589      1.0  schedule: name=PostUpdate
    9.285      1.0  system: name=\"bevy_render::erased_render_asset::prepare_erased_assets<bevy_pbr::mesh_material::MeshMaterial3d
    9.122      1.0  schedule: name=RunFixedMainLoop
    8.924      1.0  system: name=\"bevy_time::fixed::run_fixed_main_schedule\"
    8.912      1.7  schedule: name=FixedMain
    6.352      1.7  schedule: name=FixedPostUpdate
    6.327      1.0  system: name=\"bevy_pbr::material::prepare_material_bind_groups\"
    5.668      1.0  system: name=\"bevy_ui::widget::text::text_system\"
    5.173      1.7  system: name=\"avian3d::schedule::run_physics_schedule\"
    5.156      1.7  schedule: name=PhysicsSchedule
    4.109      1.0  sub app: name=RenderExtractApp
    3.642      1.0  system: name=\"bevy_render::renderer::render_system\"
    3.639      1.0  main_render_schedule: 
    3.490      1.0  schedule: name=RenderGraph
    2.639      1.7  system: name=\"avian3d::dynamics::solver::schedule::run_substep_schedule\"
    2.615     10.1  schedule: name=SubstepSchedule
    2.331    904.6  multithreaded executor: 
    2.142      1.7  schedule: name=FixedUpdate
    1.964      1.0  system: name=\"bevy_core_pipeline::schedule::camera_driver\"
    1.956      1.0  schedule: name=Update
    1.932      1.0  camera_schedule: camera=\"Camera 0 (468v3)\"
    1.924      1.0  schedule: name=Core3d
